Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,LinkNet Network Line,y = 0.52065 + 1.0026*x,0.5206499357680197,1.0025968049438612,[1.0025968049438612],"[0.5206499357680197, 1.0025968049438612]",0.9999973824517524,8,1.5553363279952668,3.1076237094343724,2.079325986752815,3.635389237269985
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,PSPNet Network Line,y = 0.027282 + 0.99364*x,0.027281967877248903,0.9936400363574782,[0.9936400363574782],"[0.027281967877248903, 0.9936400363574782]",0.9999771634848641,8,1.934548947666147,3.4984869931620715,1.9516288938366382,3.505270749678697
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,SUMNet w/o Skip Connection Network Line,y = 0.50451 + 1.00001*x,0.504510031124016,1.000013196490764,[1.000013196490764],"[0.504510031124016, 1.000013196490764]",0.9999999829479186,7,2.85404125405517,4.058161221516712,3.358574274675629,4.562701682192447
Medium_FLOPs_vs_Act_Size_log,Medium,FLOPs,Act_Size,log,SegNet Network Line,y = -0.439606 + 0.99624*x,-0.4396058556232769,0.9962396866229231,[0.9962396866229231],"[-0.4396058556232769, 0.9962396866229231]",0.9999715413543393,8,2.4444976007902155,4.004478723274879,1.994361151908001,3.55081272806367
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,Global Trendline,y = 4602.68 + 4.28032*x,4602.675198082423,4.280316334479127,[4.280316334479127],"[4602.675198082423, 4.280316334479127]",0.594345033175429,39,89.46,36534.375,372.51,170978.44
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,FCN_R50 Network Line,y = 377.58 + 8.09651*x,377.5798876713088,8.09650621865269,[8.09650621865269],"[377.5798876713088, 8.09650621865269]",0.994925349123806,8,110.44,3975.84,1035.85,32823.34
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,LinkNet Network Line,y = -315.537 + 3.4742*x,-315.53653981206753,3.4741972110819357,[3.4741972110819357],"[-315.53653981206753, 3.4741972110819357]",0.9888824494351561,8,120.04,4319.06,372.51,15129.52
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,PSPNet Network Line,y = 171.08 + 4.47244*x,171.07963306464626,4.4724354128229695,[4.4724354128229695],"[171.07963306464626, 4.4724354128229695]",0.9980820212900855,8,89.46,3200.89,527.98,14516.23
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,SUMNet w/o Skip Connection Network Line,y = -25253.9 + 5.38151*x,-25253.85840865731,5.381505169547598,[5.381505169547598],"[-25253.85840865731, 5.381505169547598]",0.9270818375980636,7,2283.3594,36534.375,2081.62,162759.9
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,SegNet Network Line,y = -24818.2 + 50.2818*x,-24818.182699712233,50.2817914171184,[50.2817914171184],"[-24818.182699712233, 50.2817914171184]",0.9151635121900281,8,98.71,3554.78,884.99,170978.44
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,Global Trendline,y = 1.11428 + 0.877802*x,1.1142802892298875,0.8778017186965638,[0.8778017186965638],"[1.1142802892298875, 0.8778017186965638]",0.7818736157541588,39,1.9516288938366382,4.562701682192447,2.5711379358400848,5.232941350278959
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,FCN_R50 Network Line,y = 1.07176 + 0.954416*x,1.0717649257554398,0.9544161824873869,[0.9544161824873869],"[1.0717649257554398, 0.9544161824873869]",0.9952095743588025,8,2.0431263979672254,3.5994288987345127,3.015296870381438,4.516182771408289
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,LinkNet Network Line,y = 0.510329 + 0.996898*x,0.5103291136333787,0.9968978108092541,[0.9968978108092541],"[0.5103291136333787, 0.9968978108092541]",0.9893105969219927,8,2.079325986752815,3.635389237269985,2.5711379358400848,4.179825149790662
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,PSPNet Network Line,y = 0.888175 + 0.927983*x,0.8881748850948687,0.9279830094221707,[0.9279830094221707],"[0.8881748850948687, 0.9279830094221707]",0.997109463441359,8,1.9516288938366382,3.505270749678697,2.722617471673684,4.161853840689962
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,SUMNet w/o Skip Connection Network Line,y = -2.35679 + 1.67309*x,-2.356794042917021,1.6730881196230771,[1.6730881196230771],"[-2.356794042917021, 1.6730881196230771]",0.9757311366791039,7,3.358574274675629,4.562701682192447,3.318401451896177,5.211547414349953
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,SegNet Network Line,y = -0.0969518 + 1.42504*x,-0.09695175204236106,1.4250350495923914,[1.4250350495923914],"[-0.09695175204236106, 1.4250350495923914]",0.9488212242446387,8,1.994361151908001,3.55081272806367,2.9469383633878192,5.232941350278959
