Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,Compression Engine Network Line,y = -1.14367 + 13.5879*x,-1.1436708017236015,13.587865557751208,[13.587865557751208],"[-1.1436708017236015, 13.587865557751208]",0.9999998715115677,8,18.59,663.9,251.91,9019.56
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,ENet Network Line,y = -0.547792 + 8.31383*x,-0.5477921543638331,8.313833596301686,[8.313833596301686],"[-0.5477921543638331, 8.313833596301686]",0.9999994804056528,8,3.56,126.65,29.23,1052.54
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,ERFNet Network Line,y = -0.508622 + 2.15815*x,-0.5086220826045746,2.158145117081432,[2.158145117081432],"[-0.5086220826045746, 2.158145117081432]",0.9999980571399586,8,28.92,1041.18,62.4,2246.48
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,ESPNet Network Line,y = -0.159007 + 7.24623*x,-0.15900739901053385,7.2462338395603485,[7.2462338395603485],"[-0.15900739901053385, 7.2462338395603485]",0.9999994005568661,8,6.02,216.78,43.63,1570.66
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,EliteNet Network Line,y = -5.65879 + 96.6906*x,-5.658793734111896,96.69059314722188,[96.69059314722188],"[-5.658793734111896, 96.69059314722188]",0.999774421800783,8,0.60872,21.92,58.66,2112.01
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,Jet Seg Network Line,y = 0.0327073 + 2.89972*x,0.03270728741540552,2.8997227362195765,[2.8997227362195765],"[0.03270728741540552, 2.8997227362195765]",0.9999999757312116,8,14.04,505.5,40.72,1465.85
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,SegFormer-BO Network Line,y = 194.251 + 4.21084*x,194.25113137114482,4.2108357643544645,[4.2108357643544645],"[194.25113137114482, 4.2108357643544645]",0.9681993064258898,7,8.61,329.24,93.79,1498.54
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,UNet w/o Skip Connection Network Line,y = 0.733991 + 7.00489*x,0.7339910975806561,7.004885405523176,[7.004885405523176],"[0.7339910975806561, 7.004885405523176]",0.9999998159946057,7,94.22,1507.59,660.06,10560.94
Small_FLOPs_vs_Act_Size_linear,Small,FLOPs,Act_Size,linear,UNext w/o skip Network Line,y = -0.422378 + 19.3159*x,-0.4223782268654759,19.315890554584968,[19.315890554584968],"[-0.4223782268654759, 19.315890554584968]",0.9999999866947011,8,27.8,998.08,536.24,19278.11
Small_FLOPs_vs_Act_Size_log,Small,FLOPs,Act_Size,log,Global Trendline,y = 1.63773 + 0.637259*x,1.6377282141895093,0.6372593207970202,[0.6372593207970202],"[1.6377282141895093, 0.6372593207970202]",0.5935224277467179,71,-0.215582428907505,3.8926271219991544,1.4658288153574364,4.285064454006368
